"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DGKZP1",11.2773678819978,-2.64862330204595,0.700838746396768,-3.77921927927551,0.000157320840440563,0.00336794209870918
"GALNT8",46.3823930241856,-2.3929174986212,0.542108760689112,-4.4140911790088,1.01435203802475e-05,0.000309267513976103
"LINC03096",28.6585758098953,-2.04854401817351,0.382325864484588,-5.35810994878712,8.40970600038519e-08,3.84954861930911e-06
"SPATA31D1",30.5416855198751,-1.33767649764481,0.435025761722847,-3.07493628043353,0.00210547530888248,0.030062200712032
"PRICKLE2-AS2",22.5620819474118,-1.46660536836192,0.375778871492004,-3.90284148371319,9.50699693313693e-05,0.00222106065280243
"PPP2R5CP",17.1365594638074,-1.24236976862087,0.383797279194878,-3.23704683687985,0.00120773587832114,0.0191368355729102
"PLPPR4",23.5523986746374,-1.05483798055771,0.317684594080314,-3.32039387560304,0.00089890527711055,0.014885695133014
"HAUS4",88.0965108379368,-2.67592322871225,0.456980095822526,-5.85566691673039,4.75099573345878e-09,2.68391534895827e-07
"CNOT9",30.6575116734168,-1.81301260103652,0.539486331168584,-3.36062750118124,0.000777656281067581,0.0131485407842968
"ANKRD55",155.299487551259,-2.74005906754349,0.437762400839986,-6.25923803023241,3.86863007981364e-10,2.46585021426914e-08
"BPESC1",37.252713471433,-0.978537667702627,0.32953204545522,-2.96947650827361,0.00298307620058176,0.0402453195719062
"GGA2",69.2862762810493,-1.06015723349323,0.27240637294567,-3.89182243436232,9.94940524173122e-05,0.00230845335079783
"BTG2",40.3936127755663,-0.898401953363143,0.254577139139701,-3.52899697278057,0.000417137902176682,0.00774272121501795
"DOCK4-AS1",54.5933075234547,-1.13959405521483,0.214726362759591,-5.3071920958803,1.11326837497057e-07,4.97466034963703e-06
"RAD51C",76.6694465419487,-0.672954029558976,0.197379959086229,-3.40943443637549,0.000650977231420352,0.0112660414097553
"ECM1",67.8261328789077,-1.29862410093607,0.287268405998881,-4.52059493427598,6.16660831307869e-06,0.000198400344792785
"UBE2E3",58.4906826463222,-1.00303791511688,0.253233662604386,-3.96091856351608,7.46619947963434e-05,0.00179646118818381
"GRID1",296.487148990361,-2.67649424561827,0.421010734432924,-6.35730642170764,2.05322164639285e-10,1.36003791487144e-08
"EIF4E3",65.7511520483126,-0.766373145692943,0.208001734477719,-3.6844555533023,0.000229192013261072,0.00464739771427702
"CLUHP5",73.9184373868717,-0.706226118108096,0.186097097626744,-3.79493354337302,0.000147683008645551,0.00318991521615345
"GRIA2",94.0775739971659,-0.554875754212879,0.17433283719598,-3.18285277253363,0.00145831746274017,0.0221714133781676
"PAGE4",166.934432895005,-1.11241368300988,0.335321098837837,-3.31745806292925,0.000908405516848299,0.0150205970000167
"RORA-AS1",932.257858862629,-2.41167185572575,0.79265750080382,-3.04251439402278,0.00234610596549914,0.0329410439428478
"DUX4L25",97.884325400274,-1.17319424651909,0.387317788913048,-3.02902236897377,0.00245346516118098,0.034334283378217
"FAM83E",117.249971412504,-0.903196135171652,0.21729281942213,-4.15658528235593,3.23039618520354e-05,0.000862000346986936
