""	"SRR18920974"	"SRR18920975"	"SRR18920976"	"SRR18920977"	"SRR18920978"	"SRR18920979"	"SRR18920980"	"SRR18920981"
"DGKZP1"	2.83014772037739	3.02222281401329	3.44201077991916	3.29007434285138	2.71285326933639	3.0348081178008	3.74592868051669	3.78871677664558
"GALNT8"	4.4208088705002	4.82455152807234	5.39455584208347	5.22383566476307	4.63546054394776	4.86384361047032	5.97582030321818	6.03183340015966
"LINC03096"	4.19896256429584	4.10140606777552	5.17313341549084	4.82333773636223	4.27373406930745	4.46332907086283	5.01033305141033	5.03069985678922
"SPATA31D1"	4.37946905645445	4.37363302575462	4.83681895108394	4.95600332294188	4.66291499733894	4.76606860056262	5.32823531688159	5.10938121909306
"PRICKLE2-AS2"	4.09949464377963	4.27577996411695	4.4477113362279	4.60724177711018	3.99060381817087	4.11458997375648	4.81844227054267	4.66566029382042
"PPP2R5CP"	3.89219945379655	3.82824774042964	4.21072775926345	4.30889755294424	3.75349202023689	3.84121515053302	3.9897090274046	4.32490379040892
"PLPPR4"	4.21149882272134	4.20379526952837	4.7399186719322	4.6212805354949	4.32564611926607	4.48182318799266	4.68057073940775	4.69843177230825
"HAUS4"	5.08202497494885	5.37739588661505	6.40872741989068	6.25005438648737	5.62919423712982	5.30007488584986	7.01473972822122	6.97344661852358
"CNOT9"	4.35877658654762	4.54182230417115	5.4362999727015	5.29919799858895	4.27207235935462	4.31469148149624	4.58818622912122	4.74279353889311
"SLC9A3P3"	3.56886246183348	3.61421815916879	3.03167334350723	3.14259660963376	3.9831976082613	3.69193803473332	3.43005113248454	3.26326684063386
"LRRC4C"	3.92940824537745	4.29528333680637	3.24379791360551	3.44540730202218	4.21433341549305	3.78484188440753	3.35764133595272	3.67668410978711
"EPHB2"	4.22920497127804	4.37749509203658	3.86500511000186	3.8246938754041	4.31478676778402	4.38624160052601	3.94370916283364	3.80876921690075
"PJA1"	4.46026283724807	4.72366958383281	3.94750680098248	3.90582772389089	4.53100568418431	4.50869967503092	4.27434462346423	4.20335313504646
"ANKRD55"	5.76382772245293	5.77793236211211	7.07244450805192	7.27216269483176	6.34745787376356	5.88639214031881	8.02072465460587	7.81061562499148
"HECTD4"	4.49075909780507	4.48790286369329	4.12017868025937	3.85278380189517	4.34976880365221	4.30796068302177	3.97375164863095	3.91302836258988
"MTHFD2P5"	4.86241358649977	5.12790667906327	4.49471562841873	4.63776680348734	5.03627116962159	4.8232077287417	4.65551663916576	4.43241360112274
