"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC9A3P3",12.3213106425783,1.77148068549135,0.564497340558837,3.13815594549592,0.00170014397885464,0.0250804645823875
"LRRC4C",15.5816389899265,2.12337784713859,0.596520373745198,3.55960657941514,0.000371410780081687,0.00698607960619128
"EPHB2",18.1851080448418,1.43860821249862,0.345275373208122,4.16655320398849,3.09239745451566e-05,0.000827792161715118
"PJA1",21.4973320244707,1.35089449995638,0.41100311643097,3.28682300924419,0.00101324495416028,0.0165176380884428
"HECTD4",19.357616017052,1.33066695430668,0.358042139198379,3.71650933961548,0.000201994177606862,0.0041643623081434
"MTHFD2P5",28.4960880504155,1.0813206769218,0.325159744429247,3.32550598727972,0.000882582046231814,0.0146584988622434
"IFNG-AS1",26.7764133052524,0.849365549939806,0.289770401768221,2.93116738202679,0.00337690776904832,0.0446317285813733
"OR6A2",28.3235732349541,1.03341076910013,0.32258496995606,3.20353043491423,0.00135753690563766,0.0210368402505741
"TGIF2",24.4738331727809,1.2457165757305,0.318936408465166,3.90584625231509,9.38962010511733e-05,0.00219972362268428
"PCNT",11.8084898527116,3.43266927791146,1.11391559874013,3.08162421084139,0.00205874562661585,0.0295726155631486
"SMIM31",19.513767152683,1.44235110393059,0.453780769767437,3.17851967299055,0.00148029172234703,0.0224046662026557
"OSTN-AS1",27.6385385006543,1.11154836185799,0.325279184030725,3.41721332451754,0.000632656848897312,0.010960212138179
"RPS17P1",32.9423652862971,0.915102486441852,0.312482325319425,2.92849358921795,0.00340608856559093,0.0449822063810762
"NPIPA5",14.6200867767194,2.27666017295016,0.618769199872323,3.67933661439503,0.000233841446937929,0.00471338410528467
"RNU6-670P",25.9497321615145,1.57578611244724,0.353014221104874,4.46380349073559,8.05174149181472e-06,0.000252322756100635
"HES7",31.4748336720264,1.17177998750876,0.283675771870807,4.1307016802352,3.61657651323068e-05,0.000951520153971641
"KDM1B",32.54788293224,0.840905983224148,0.280406066279895,2.99888655898327,0.00270968176635191,0.0372410371972743
"GADD45A",25.5087763807986,1.14181564960501,0.351680393372271,3.24674241477074,0.00116733988171572,0.0186366143119662
"CBX3P4",34.5065136915691,0.779300733969983,0.236581210125952,3.29400941670344,0.000987691895206695,0.0161814779844193
"NOP56",36.4979004648523,0.852866540809666,0.286281782752277,2.97911565524818,0.00289081641739003,0.0391884270514727
"IMPA2",37.3356564903168,1.15813418691417,0.242539271840143,4.77503778306672,1.7967351738161e-06,6.48475508994182e-05
"DPYSL4",44.4015237759373,1.48413453111452,0.510286763555681,2.90843235041619,0.00363245757702763,0.0475258256650455
"ELOA3P",30.3779975726686,0.999330653756979,0.289557987968447,3.45122806235923,0.000558041800548534,0.0098473433675346
"SLC22A1",38.2054256374052,0.817666081416686,0.263211166821823,3.10650224794678,0.00189314869151525,0.0274717994401926
"FTCDNL1",43.8952512747823,1.42910693801199,0.318228900020408,4.49081443552217,7.09513464597831e-06,0.000223589401688843
"PHF10",72.0042931324104,3.29494760510182,0.571051902675611,5.76996169641262,7.92895530024760e-09,4.30636604425988e-07
"DDX1",49.9518175216217,1.56214183141492,0.404397758074918,3.8628844997838,0.000112055996339045,0.0025270198052908
"LAMB4",46.6670380734056,0.769728333714637,0.258017180617673,2.9832444950835,0.00285210058335724,0.0387257483548932
"RPL18AP15",53.16873581368,1.25504042515784,0.356211882538754,3.52329747175489,0.000426212698326298,0.00788516833234337
"NCS1",58.8351906866945,0.912934243225379,0.272078627562908,3.3554059405651,0.000792486008513701,0.0133725086611438
"GLIPR1-AS1",40.5045010100517,1.25207332375749,0.350007295901411,3.57727778368988,0.00034719115575464,0.00663363860482142
"ARAP1-AS2",47.255118864562,1.25895171871394,0.352870061741462,3.56774874156464,0.000360061517451483,0.00681052529817804
"GKAP1",45.5954776345416,1.28702714006064,0.294652259742464,4.36795272225484,1.25416632702908e-05,0.000367142520447976
"FOXP2",51.7973272158907,0.762773327576218,0.249799242313165,3.0535454011504,0.00226154498232836,0.0319129125284113
"RIPOR3-AS1",84.4439686393606,0.781939961123243,0.244970141394493,3.19198069067539,0.00141300778442624,0.0215991986305372
"ECE1-AS1",75.7452265182923,1.50083493088791,0.370515289444436,4.05066936141371,5.1071329504572e-05,0.00128945564523427
"RPS15AP13",62.3756504530688,0.803027404865842,0.235886938543447,3.40428940162762,0.00066336430753939,0.0114335576720896
"RN7SL587P",86.3272289691837,0.713707216103415,0.225065073426571,3.17111493683744,0.00151855046213702,0.022860816270906
"RNU6-580P",74.93122111556,1.01438737683997,0.24893125230231,4.07496996643904,4.60202859816458e-05,0.00117598888126472
"FPASL",63.2398140113151,1.52856128897884,0.223018327844518,6.85397161637993,7.1827339259091e-12,5.61573745439668e-10
"ERICH2",84.7181388851732,0.699306675977312,0.210407041477868,3.3235897005418,0.000888668378247675,0.0147306158753498
"MMP19",72.2742960236199,0.803554075080265,0.211348155137976,3.80203969396219,0.000143509727492976,0.00313586391602051
"KRT37",78.7301309483135,0.854999311766294,0.235740287514609,3.62686972507111,0.000286877939033399,0.00564104222143555
"HELZ",103.537273828371,0.676616693913561,0.156400422153128,4.32618201791747,1.5171607018149e-05,0.000435822473033255
"CDK2AP2P2",103.032525608355,0.715588917573232,0.187775377315216,3.81087727158168,0.000138474505844128,0.00304157721484157
"KCTD19",87.9547268164224,1.59707845703407,0.24814780569288,6.43599669388451,1.22665703198857e-10,8.38844693413721e-09
"MAF1P1",116.944824975985,0.515418103123901,0.139987300381831,3.68189186960562,0.000231509604161927,0.00468314817233425
"H3P43",125.087967153909,0.726932044613595,0.164710065690754,4.41340388982919,1.01757903082821e-05,0.000309692385760708
"FEM1A",103.655153548436,0.590908758625397,0.197559602659779,2.99104042865996,0.00278028681570132,0.0379030061372163
"PCBP1-AS1",73.6953283245485,1.43651909760342,0.411305823887052,3.49258146657778,0.000478375650034492,0.00867910107919721
"PPARGC1B",113.493251174075,0.676380520300914,0.178007257250274,3.79973564420431,0.000144850521127317,0.0031610725482707
"E2F6P2",122.137135752675,0.784371623132462,0.189048962196169,4.14903956107703,3.33873113701947e-05,0.000886706094896161
"CLUH",128.550831999773,0.701898683838148,0.200648511454791,3.49815046595197,0.00046849673990148,0.00853654631464498
"PSME1",115.898737774229,1.33244278147054,0.208877400690404,6.3790662707713,1.78170930331934e-10,1.1989980813692e-08
"MME",127.271520461448,0.947921605558725,0.266857589414746,3.55216281327296,0.000382078365523469,0.00713903282307182
"STK32C",162.727054216071,0.818498119611492,0.213516692102808,3.83341513747968,0.000126376411488727,0.00280134378800011
"NOTCH2NLC",175.933689964007,0.684146422814792,0.117076541839784,5.84358242961281,5.10899995016716e-09,2.86698066971008e-07
"ACP4",201.714294577005,0.946399005735787,0.276745488893262,3.4197450138051,0.000626798582942415,0.0108698715241071
"RAD23BP3",126.053346030795,1.33653758913691,0.428942443467706,3.11589027733399,0.00183390495179069,0.0267731102339642
"CGN",213.180449153787,0.420690753767176,0.125707197389824,3.34659241875063,0.000818114031345221,0.0137500140332857
"EIF4A1",224.715621347882,0.648730598969143,0.200386040839628,3.23740414377632,0.00120622454942623,0.019130834614421
"HERC2P1",167.183538800522,0.984278152585948,0.28092903595675,3.50365404285758,0.000458921141184856,0.00840741539669566
"IGFBP6",235.777946157321,0.675136472493501,0.178922723466999,3.77334113527522,0.000161075801748033,0.00343526687793691
"PAK1",230.776284990541,0.787226573827469,0.262353566909124,3.00063225021886,0.00269419730078334,0.0370885791422423
"RRP15",240.631537701313,0.798933343756943,0.203490554667483,3.92614460687108,8.63182736566823e-05,0.00204775556226829
"SDHAF1",183.635301632285,1.17556092120376,0.162243704702687,7.2456489042702,4.30373653938026e-13,3.82602178350905e-11
"NPIPB5",238.689746923172,0.572340691649316,0.148837725797118,3.84540067771178,0.000120355608879536,0.00269407936554139
"NOPCHAP1",240.071112263382,0.734226988380503,0.1511233498202,4.85846157628226,1.18301360620315e-06,4.53112989169555e-05
"ALOX5",171.579459449873,0.952201083139879,0.317023416931718,3.00356703096468,0.00266834761558134,0.0368227610905102
"BLOC1S2P1",235.41102446799,0.682849265522109,0.150999940491465,4.52218234854672,6.12052964686115e-06,0.000197293637910557
"SPIN2B",190.606908888433,0.847505478301577,0.235378059284183,3.60061375677477,0.000317466891647786,0.00611440509329847
"CDA",257.807173133898,0.42279213275994,0.131962380951118,3.20388378652059,0.00135587194300034,0.0210303333234333
"CASC2",220.332791678714,0.885327688497185,0.200701056347569,4.41117602771356,1.02810693239259e-05,0.000311772965799699
"RPL23AP55",270.249261785553,0.570351020911587,0.1844435477496,3.09227960462944,0.00198625665330709,0.0286750949837693
"H3P16",274.682643805734,0.527426300018162,0.173733844448757,3.03582932670166,0.00239875104334683,0.0336243185669472
"SLC28A3",314.837051576543,0.532605486078336,0.159985489211751,3.32908621089628,0.000871314293553813,0.014528499242268
"MRPL22P1",249.42134771482,0.917588111797092,0.113614292452165,8.0763440232084,6.67374312741469e-16,7.56551645403769e-14
"ZNF493",315.144488999315,0.69417832320087,0.235487031177183,2.947840990354,0.00320001616643478,0.0425267293998818
"LINC02027",301.385961361036,1.17049085735182,0.215907952865924,5.42124938806066,5.91839251602962e-08,2.76918470881597e-06
"PPP1R36",308.208571689189,0.31188020120483,0.0898970042568974,3.46930583263458,0.000521805090611669,0.00931692366334218
"DYNC2I1",246.541753681637,0.804578382294624,0.144585413294101,5.56472720147801,2.62562831828213e-08,1.30057149337547e-06
"PDGFRA",254.36866855181,0.471272917799663,0.138802232275925,3.39528341923794,0.000685575911574862,0.0117683564252144
"CLDN4",284.052113695049,0.502936595019006,0.158421442803069,3.17467500686884,0.00150004404248988,0.0226427559621954
"TSN",333.334928218003,0.294297126007234,0.0992400920090171,2.96550638002728,0.00302185077430416,0.0406028096761073
"RBBP9",221.793475640858,0.849081297109288,0.243214083604421,3.4910860609959,0.000481061268156672,0.00871846124510124
"PCBP2-OT1",320.753726947059,0.502232053595468,0.141218013024394,3.55643053488306,0.000375927822127863,0.00705532982617971
"SARM1",322.410395531782,0.560867985621276,0.133195253989476,4.21087064908178,2.54388379453202e-05,0.000695287074003888
"PKD2",255.524913639625,0.807905359169596,0.212365934531145,3.80430769630387,0.000142201332548566,0.00311129884466039
